Code,Item,Group,Region_Number,REGION_NAME,State_Name,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Average_Annual_Percent_Growth
11,Population (Thousands),State,3,Great Lakes,Indiana,5616,5675,5739,5794,5851,5906,5955,5999,6045,6092,6128,6156,6197,6233,6279,6333,6380,6425,6459,6491,6517,6539,6571,6596,6611,6638,6662,6698,6731,6755,0.6
11,Population (Thousands),State,4,Plains,Iowa,2798,2818,2837,2851,2867,2880,2891,2903,2918,2929,2932,2934,2942,2954,2964,2983,2999,3017,3033,3051,3067,3077,3094,3111,3123,3133,3144,3150,3160,3164,0.4
11,Population (Thousands),State,4,Plains,Kansas,2499,2532,2557,2581,2601,2615,2635,2661,2678,2694,2702,2714,2723,2734,2745,2763,2784,2808,2833,2858,2870,2886,2894,2902,2911,2913,2911,2913,2913,2914,0.5
11,Population (Thousands),State,5,Southeast,Kentucky,3722,3765,3812,3849,3887,3920,3953,3985,4018,4049,4068,4090,4117,4146,4183,4219,4257,4290,4317,4348,4371,4388,4407,4417,4429,4440,4456,4464,4472,4477,0.6
11,Population (Thousands),State,5,Southeast,Louisiana,4253,4293,4316,4347,4379,4399,4421,4440,4461,4472,4478,4497,4521,4552,4577,4303,4376,4436,4492,4545,4576,4602,4626,4646,4667,4681,4674,4664,4658,4645,0.3
11,Population (Thousands),State,1,New England,Maine,1237,1239,1242,1243,1243,1249,1255,1259,1267,1277,1286,1296,1307,1314,1319,1324,1327,1331,1330,1328,1328,1328,1329,1331,1329,1332,1336,1340,1346,1350,0.3
11,Population (Thousands),State,2,Mideast,Maryland,4868,4923,4972,5023,5070,5112,5157,5204,5255,5311,5375,5440,5496,5547,5592,5627,5653,5685,5730,5789,5840,5888,5925,5960,5989,6007,6028,6042,6055,6056,0.8
11,Population (Thousands),State,1,New England,Massachusetts,6018,6029,6061,6095,6141,6180,6226,6272,6317,6361,6398,6417,6423,6412,6403,6410,6432,6469,6518,6566,6614,6664,6715,6765,6797,6827,6864,6886,6895,6894,0.5
11,Population (Thousands),State,3,Great Lakes,Michigan,9400,9479,9540,9598,9676,9759,9809,9848,9897,9952,9991,10016,10041,10055,10051,10036,10001,9947,9902,9878,9883,9898,9915,9932,9934,9954,9977,9987,9985,9967,0.2
11,Population (Thousands),State,4,Plains,Minnesota,4441,4496,4556,4610,4660,4713,4763,4813,4873,4934,4983,5019,5054,5088,5120,5164,5207,5247,5281,5311,5347,5378,5415,5453,5484,5525,5569,5609,5640,5657,0.8
11,Population (Thousands),State,5,Southeast,Mississippi,2599,2624,2655,2689,2723,2748,2777,2805,2828,2848,2853,2859,2868,2889,2906,2905,2928,2948,2959,2971,2979,2985,2990,2992,2990,2991,2991,2983,2978,2967,0.5
11,Population (Thousands),State,4,Plains,Missouri,5171,5217,5271,5324,5378,5432,5481,5522,5562,5607,5641,5675,5709,5748,5790,5843,5888,5924,5961,5996,6011,6026,6043,6059,6075,6091,6111,6126,6140,6152,0.6
11,Population (Thousands),State,7,Rocky Mountains,Montana,810,826,845,861,877,886,890,892,898,904,907,912,920,930,940,953,965,976,984,991,998,1004,1014,1023,1031,1042,1054,1062,1070,1081,1
11,Population (Thousands),State,4,Plains,Nebraska,1596,1612,1626,1639,1657,1674,1686,1696,1705,1714,1720,1728,1739,1749,1761,1773,1783,1796,1813,1830,1841,1854,1866,1880,1892,1906,1917,1926,1933,1938,0.7
11,Population (Thousands),State,8,Far West,Nevada,1296,1351,1411,1499,1582,1666,1764,1853,1935,2019,2098,2174,2249,2346,2432,2523,2601,2654,2685,2702,2713,2745,2777,2819,2869,2920,2972,3031,3091,3138,3.1
11,Population (Thousands),State,1,New England,New Hampshire,1110,1118,1129,1143,1158,1175,1189,1206,1222,1240,1256,1269,1280,1290,1298,1308,1313,1316,1316,1317,1320,1325,1327,1334,1337,1344,1350,1355,1361,1366,0.7
11,Population (Thousands),State,2,Mideast,New Jersey,7815,7881,7949,8014,8083,8150,8219,8287,8360,8431,8493,8553,8601,8635,8652,8662,8678,8711,8756,8799,8829,8846,8858,8867,8870,8874,8888,8892,8891,8882,0.4
11,Population (Thousands),State,6,Southwest,New Mexico,1555,1595,1636,1682,1720,1752,1775,1793,1808,1821,1832,1855,1878,1904,1932,1962,1990,2011,2037,2065,2081,2088,2093,2090,2090,2093,2093,2094,2100,2106,1.1
11,Population (Thousands),State,2,Mideast,New York,18123,18247,18375,18459,18524,18588,18657,18756,18883,19002,19083,19138,19176,19172,19133,19105,19132,19212,19307,19400,19500,19574,19626,19653,19657,19636,19594,19544,19463,19337,0.2
11,Population (Thousands),State,5,Southeast,North Carolina,6784,6897,7043,7187,7345,7501,7657,7809,7949,8082,8210,8326,8423,8553,8705,8917,9118,9309,9450,9575,9659,9752,9847,9937,10037,10162,10276,10391,10501,10601,1.6
11,Population (Thousands),State,4,Plains,North Dakota,636,638,641,645,648,650,650,648,644,642,639,638,639,645,646,649,653,658,665,675,686,702,723,739,756,756,757,760,764,765,0.6
11,Population (Thousands),State,3,Great Lakes,Ohio,10946,11029,11101,11152,11203,11243,11277,11312,11335,11364,11387,11408,11435,11452,11463,11481,11500,11515,11529,11539,11546,11551,11580,11607,11622,11640,11666,11681,11697,11693,0.2
11,Population (Thousands),State,6,Southwest,Oklahoma,3175,3221,3252,3281,3308,3340,3373,3405,3437,3454,3467,3489,3505,3525,3549,3594,3634,3669,3718,3760,3789,3819,3854,3879,3911,3928,3934,3943,3961,3981,0.8
11,Population (Thousands),State,8,Far West,Oregon,2929,2992,3060,3121,3184,3247,3304,3352,3394,3430,3468,3513,3547,3569,3613,3671,3722,3769,3809,3838,3873,3900,3924,3965,4019,4093,4147,4184,4216,4242,1.3
11,Population (Thousands),State,2,Mideast,Pennsylvania,11982,12049,12120,12166,12198,12220,12228,12246,12264,12284,12299,12331,12375,12411,12450,12511,12564,12612,12667,12711,12747,12769,12780,12792,12790,12788,12795,12809,12799,12783,0.2
11,Population (Thousands),State,1,New England,Rhode Island,1011,1013,1015,1016,1017,1021,1025,1031,1040,1050,1057,1066,1071,1075,1068,1063,1057,1055,1054,1054,1054,1055,1056,1057,1057,1058,1057,1059,1058,1057,0.2
11,Population (Thousands),State,5,Southeast,South Carolina,3570,3620,3663,3705,3749,3796,3860,3919,3975,4024,4065,4108,4150,4211,4270,4358,4444,4529,4590,4636,4673,4719,4766,4827,4896,4963,5027,5092,5158,5218,1.3
11,Population (Thousands),State,4,Plains,South Dakota,704,713,722,731,738,742,744,746,750,756,758,760,764,770,775,783,792,799,807,816,824,834,843,850,855,864,874,879,887,893,0.8
11,Population (Thousands),State,5,Southeast,Tennessee,4967,5050,5138,5231,5327,5417,5499,5570,5639,5704,5751,5796,5848,5911,5991,6089,6176,6247,6306,6356,6400,6456,6497,6545,6595,6651,6715,6778,6830,6887,1.1
11,Population (Thousands),State,6,Southwest,Texas,17398,17760,18162,18564,18959,19340,19740,20158,20558,20944,21320,21690,22031,22394,22778,23360,23832,24309,24802,25242,25646,26084,26480,26963,27469,27914,28291,28625,28987,29361,1.8
11,Population (Thousands),State,7,Rocky Mountains,Utah,1780,1837,1898,1960,2014,2068,2120,2166,2203,2245,2284,2325,2360,2402,2458,2526,2598,2663,2723,2775,2815,2854,2899,2938,2984,3044,3104,3155,3203,3250,2.1
11,Population (Thousands),State,1,New England,Vermont,569,573,578,584,589,594,597,600,605,610,612,615,618,620,621,623,623,624,625,626,627,626,627,626,626,624,625,625,624,623,0.3
11,Population (Thousands),State,5,Southeast,Virginia,6301,6414,6510,6593,6671,6751,6829,6901,7000,7106,7198,7287,7367,7476,7577,7674,7751,7833,7926,8024,8102,8187,8256,8315,8367,8418,8471,8511,8557,8591,1.1
11,Population (Thousands),State,8,Far West,Washington,5026,5161,5279,5375,5481,5570,5675,5770,5843,5911,5986,6052,6104,6179,6257,6371,6462,6562,6667,6743,6827,6899,6966,7058,7167,7300,7428,7527,7614,7694,1.5
11,Population (Thousands),State,5,Southeast,West Virginia,1799,1806,1818,1820,1824,1823,1819,1816,1812,1807,1801,1805,1812,1816,1820,1828,1834,1840,1848,1854,1857,1857,1855,1851,1843,1832,1819,1806,1795,1785,0
11,Population (Thousands),State,3,Great Lakes,Wisconsin,4964,5025,5085,5134,5185,5230,5266,5298,5333,5374,5407,5445,5479,5514,5546,5578,5611,5641,5669,5691,5706,5721,5738,5753,5763,5775,5793,5809,5825,5833,0.6
11,Population (Thousands),State,7,Rocky Mountains,Wyoming,459,466,473,480,485,488,489,491,492,494,495,500,503,509,514,523,535,546,560,565,567,577,583,583,586,585,580,579,580,582,0.8
